id,topic,reference,candidate
1,government,The government announced a new education policy.,The government introduced a new policy for education.
2,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
3,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
4,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
5,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
6,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
7,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
8,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
9,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
10,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
11,government,The government announced a new education policy.,The government introduced a new policy for education.
12,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
13,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
14,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
15,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
16,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
17,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
18,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
19,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
20,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
21,government,The government announced a new education policy.,The government introduced a new policy for education.
22,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
23,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
24,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
25,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
26,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
27,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
28,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
29,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
30,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
31,government,The government announced a new education policy.,The government introduced a new policy for education.
32,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
33,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
34,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
35,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
36,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
37,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
38,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
39,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
40,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
41,government,The government announced a new education policy.,The government introduced a new policy for education.
42,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
43,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
44,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
45,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
46,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
47,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
48,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
49,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
50,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
51,government,The government announced a new education policy.,The government introduced a new policy for education.
52,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
53,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
54,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
55,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
56,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
57,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
58,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
59,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
60,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
61,government,The government announced a new education policy.,The government introduced a new policy for education.
62,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
63,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
64,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
65,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
66,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
67,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
68,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
69,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
70,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
71,government,The government announced a new education policy.,The government introduced a new policy for education.
72,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
73,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
74,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
75,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
76,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
77,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
78,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
79,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
80,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
81,government,The government announced a new education policy.,The government introduced a new policy for education.
82,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
83,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
84,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
85,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
86,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
87,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
88,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
89,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
90,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
91,government,The government announced a new education policy.,The government introduced a new policy for education.
92,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
93,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
94,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
95,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
96,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
97,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
98,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
99,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
